index,countries,coef
Only countries,United States of America,1.3899691814464592
Languages and Countries,United States of America,1.2342070606989872
Only countries,Japan,0.4581813689328789
Languages and Countries,Japan,0.2976758432228593
Only countries,Germany,0.3473686349439321
Languages and Countries,Germany,0.20972111425373083
Only countries,United Kingdom,0.2613671834816901
Languages and Countries,United Kingdom,0.15372718381748196
Only countries,France,0.08683938239170735
Languages and Countries,France,-0.18868131624825918
Only countries,South Korea,-0.08322851556943223
Languages and Countries,South Korea,0.14121182636546803
Only countries,other_countries,-0.1401342742668319
Languages and Countries,other_countries,-0.2616189603523106
Only countries,Canada,-0.45836200120883214
Languages and Countries,Canada,-0.4879108832416705
