,Genres,count,mean
0,Drama,4299,90171280.75342855
1,Comedy,3178,96676836.62905948
2,Romance Film,2033,103187945.05400825
3,Thriller,1958,130334167.16142122
4,Action,1754,168888500.18063045
5,Action/Adventure,1361,157088579.17169964
6,Crime Fiction,1278,99558162.82153569
7,Adventure,1165,218330484.3719119
8,Indie,1050,30390535.738759827
9,Romantic comedy,894,83862979.71359354
10,Family Film,845,220504506.849422
11,Horror,772,90755677.27176109
12,Romantic drama,769,96175175.20098382
13,Fantasy,702,250226473.08779687
14,Mystery,680,115814861.49795261
15,Period piece,669,102066869.28889413
16,Science Fiction,646,200104818.6403233
17,Film adaptation,609,123772649.59381582
18,Crime Thriller,577,73892547.1230317
19,World cinema,574,34839073.80805235
20,Comedy-drama,551,71612687.03728011
21,Musical,541,126893474.9574968
22,Others,15381,125036117.42800203
